Code,buying value,average value,selling value,date
BIF,0.438611,0.442997,0.447382,12/27/2023
CAD,947.674555,957.150344,966.626132,12/27/2023
CHF,"1,464.85","1,479.50","1,494.14",12/27/2023
CNH,174.830823,176.578954,178.327086,12/27/2023
CNY,174.844568,176.592838,178.341107,12/27/2023
DKK,185.098817,186.949619,188.80042,12/27/2023
EGP,40.440304,40.844666,41.249028,12/27/2023
ETB,22.194838,22.416764,22.63869,12/27/2023
EUR,"1,380.06","1,393.86","1,407.66",12/27/2023
GBP,"1,591.12","1,607.03","1,622.94",12/27/2023
GHS,104.048888,105.089272,106.129656,12/27/2023
GNF,0.145579,0.147034,0.14849,12/27/2023
HKD,160.017394,161.617406,163.217419,12/27/2023
ILS,344.509529,347.954276,351.399024,12/27/2023
INR,14.99712,15.147076,15.297033,12/27/2023
JPY,8.759723,8.847311,8.9349,12/27/2023
KES,8.010585,8.090683,8.170781,12/27/2023
KMF,2.794114,2.822052,2.849991,12/27/2023
KRW,0.965944,0.975602,0.985261,12/27/2023
KWD,"4,064.55","4,105.19","4,145.83",12/27/2023
LSL,67.476108,68.150801,68.825494,12/27/2023
LYD,261.236554,263.848656,266.460758,12/27/2023
MAD,126.040666,127.300945,128.561225,12/27/2023
MRO,3.495767,3.530721,3.565675,12/27/2023
MUR,28.432861,28.717161,29.001461,12/27/2023
MWK,0.742265,0.749687,0.757108,12/27/2023
MZN,19.561923,19.757523,19.953122,12/27/2023
NGN,1.380812,1.394619,1.408426,12/27/2023
NOK,122.985385,124.215114,125.444844,12/27/2023
PLN,318.447167,321.631317,324.815467,12/27/2023
QAR,342.873798,346.302189,349.730581,12/27/2023
RUB,13.618183,13.754351,13.890519,12/27/2023
SAR,333.174373,336.50578,339.837187,12/27/2023
SDG,2.081215,2.102025,2.122835,12/27/2023
SEK,125.173441,126.425049,127.676657,12/27/2023
SGD,944.666134,954.111841,963.557549,12/27/2023
SSP,1.165256,1.176907,1.188558,12/27/2023
SZL,67.476108,68.150801,68.825494,12/27/2023
TRY,42.557133,42.982661,43.40819,12/27/2023
TZS,0.497967,0.502946,0.507925,12/27/2023
UGX,0.33177,0.335087,0.338405,12/27/2023
USD,"1,249.60","1,262.10","1,274.59",12/27/2023
XAF,2.0506,2.071104,2.091608,12/27/2023
XDR,"1,676.56","1,693.32","1,710.08",12/27/2023
XOF,2.100584,2.121588,2.142591,12/27/2023
ZAR,67.435496,68.109783,68.784069,12/27/2023
ZMW,49.052574,49.54305,50.033526,12/27/2023
ZWD,3.293331,3.326261,3.359191,12/27/2023
AED,340.104917,343.505623,346.906329,12/22/2023
AOA,1.475654,1.490409,1.505164,12/22/2023
AUD,846.487291,854.951309,863.415327,12/22/2023
BIF,0.438387,0.442771,0.447154,12/22/2023
CAD,940.026791,949.42611,958.825428,12/22/2023
CHF,"1,457.29","1,471.87","1,486.44",12/22/2023
CNH,174.551237,176.296573,178.04191,12/22/2023
CNY,174.741705,176.488945,178.236186,12/22/2023
DKK,184.263204,186.10565,187.948096,12/22/2023
EGP,40.41969,40.823846,41.228002,12/22/2023
ETB,22.191643,22.413537,22.635431,12/22/2023
EUR,"1,373.74","1,387.47","1,401.21",12/22/2023
GBP,"1,584.63","1,600.47","1,616.32",12/22/2023
GHS,103.822244,104.860362,105.898479,12/22/2023
GNF,0.145505,0.14696,0.148414,12/22/2023
HKD,159.877126,161.475735,163.074345,12/22/2023
ILS,345.006488,348.456204,351.905921,12/22/2023
INR,15.005088,15.155124,15.305159,12/22/2023
JPY,8.778988,8.866769,8.95455,12/22/2023
KES,8.050216,8.13071,8.211204,12/22/2023
KMF,2.781449,2.809261,2.837073,12/22/2023
KRW,0.959207,0.968798,0.978389,12/22/2023
KWD,"4,063.93","4,104.56","4,145.20",12/22/2023
LSL,67.880725,68.559463,69.238202,12/22/2023
LYD,260.297808,262.900524,265.503239,12/22/2023
MAD,125.345065,126.598389,127.851713,12/22/2023
MRO,3.493985,3.528921,3.563857,12/22/2023
MUR,28.385894,28.669725,28.953555,12/22/2023
MWK,0.741886,0.749304,0.756723,12/22/2023
MZN,19.551952,19.747452,19.942951,12/22/2023
NGN,1.383231,1.397062,1.410893,12/22/2023
NOK,121.437673,122.651927,123.866181,12/22/2023
PLN,317.496744,320.671391,323.846037,12/22/2023
QAR,342.652185,346.078361,349.504537,12/22/2023
RUB,13.583139,13.718957,13.854774,12/22/2023
